Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/27/2018; 04:44:02;16.3203233;-89.3279967;560;5;1.4;1.7;33;;3;0;0
05/27/2018; 04:59:10;16.3200483;-89.327445;588;6;1.2;1.5;33;;7;0;0
05/27/2018; 05:14:22;16.3200333;-89.327235;540;5;1.4;1.7;34;;11;0;0
05/27/2018; 05:30:15;16.32056;-89.3277017;672;5;1.9;2.1;34;;51;0;0
05/27/2018; 05:45:48;16.32015;-89.3277317;630;6;1;1.4;34;;32;0;0
05/27/2018; 06:00:55;16.320465;-89.3281117;702;7;1;1.3;33;;6;0;0
05/27/2018; 06:16:04;16.320775;-89.3282183;722;6;2;2.2;33;;8;0;0
05/27/2018; 06:31:19;16.32031;-89.327905;652;6;1.8;2;33;;14;0;0
05/27/2018; 06:46:32;16.3204567;-89.3278683;686;5;1.5;1.8;33;;11;0;0
05/27/2018; 07:01:41;16.32021;-89.327745;646;6;1.1;1.4;32;;8;0;0
05/27/2018; 07:16:55;16.3205083;-89.32777;748;5;1.7;1.9;32;;13;0;0
05/27/2018; 07:32:23;16.3203033;-89.32765;662;3;2.3;2.5;30;;26;0;0
05/27/2018; 07:47:40;16.3205683;-89.3279517;-36;3;2.3;2.5;28;;16;0;0
05/27/2018; 08:02:55;16.320095;-89.3277833;1042;5;1.4;1.7;28;;14;0;0
05/27/2018; 08:18:30;16.3199483;-89.327995;762;6;1.2;1.5;27;;34;0;0
05/27/2018; 08:33:43;16.320005;-89.3279167;662;6;1.3;1.6;29;;12;0;0
05/27/2018; 08:48:56;16.320045;-89.3278733;626;6;1.5;1.8;30;;11;0;0
05/27/2018; 09:04:13;16.3204633;-89.327985;720;5;1.7;1.9;31;;16;0;0
05/27/2018; 09:19:25;16.3201567;-89.3279617;646;6;1.4;1.7;31;;11;0;0
05/27/2018; 09:34:48;16.3204667;-89.3277683;700;6;1.2;1.5;31;;22;0;0
05/27/2018; 09:50:01;16.3206483;-89.326915;950;5;1.9;2.1;30;;11;0;0
05/27/2018; 10:05:13;16.32013;-89.3279617;672;6;1.1;1.5;28;;11;0;0
05/27/2018; 10:20:26;16.320395;-89.3275333;616;7;1.1;1.4;27;;11;0;0
05/27/2018; 10:35:37;16.3203;-89.3276683;622;5;1.5;1.7;27;;10;0;0
05/27/2018; 10:50:45;16.32023;-89.3277217;544;6;1.2;1.6;27;;7;0;0
05/27/2018; 11:06:08;16.320225;-89.3275983;714;6;1.4;4.1;26;;21;0;0
